,deg,rad,X,Y,Z,,,,X,Y,Z,,,,X,Y,Z,
31,55.8,0.9738937215,0.218958310613732,-0.087510668872104,0,,,(,0.904508496343463,-0.020871482432147,0,),,(,0.904508496343463,-0.020871482432147,0.3,)
30,54,0.942477795,0.206107373418133,-0.086571195331153,0,,,(,0.913540286320087,-0.01916675175569,0,),,(,0.913540286320087,-0.01916675175569,0.3,)
29,52.2,0.9110618685,0.19354647276222,-0.085481002783516,0,,,(,0.922163961962369,-0.017522173406011,0,),,(,0.922163961962369,-0.017522173406011,0.3,)
28,50.4,0.879645942,0.181288004738417,-0.084240343317968,0,,,(,0.93037101274362,-0.015941525105271,0,),,(,0.93037101274362,-0.015941525105271,0.3,)
27,48.6,0.8482300155,0.169344066974654,-0.082849922391327,0,,,(,0.938153339295585,-0.014428503115927,0,),,(,0.938153339295585,-0.014428503115927,0.3,)
26,46.8,0.816814089,0.157726446695466,-0.08131089280381,0,,,(,0.945503261401548,-0.012986708959144,0,),,(,0.945503261401548,-0.012986708959144,0.3,)
25,45,0.7853981625,0.14644660908943,-0.07962484445295,0,,,(,0.952413525575772,-0.011619635133683,0,),,(,0.952413525575772,-0.011619635133683,0.3,)
24,43.2,0.753982236,0.135515685994408,-0.077793789877195,0,,,(,0.95887731222182,-0.010330650033101,0,),,(,0.95887731222182,-0.010330650033101,0.3,)
23,41.4,0.7225663095,0.124944464911763,-0.075820145655278,0,,,(,0.96488824236267,-0.009122982277208,0,),,(,0.96488824236267,-0.009122982277208,0.3,)
22,39.6,0.691150383,0.114743378360401,-0.073706709782421,0,,,(,0.970440383935993,-0.007999704687806,0,),,(,0.970440383935993,-0.007999704687806,0.3,)
21,37.8,0.6597344565,0.104922493581133,-0.071456635198715,0,,,(,0.975528257648389,-0.006963718148641,0,),,(,0.975528257648389,-0.006963718148641,0.3,)
20,36,0.62831853,0.095491502601524,-0.069073399697786,0,,,(,0.98014684238278,-0.006017735595046,0,),,(,0.98014684238278,-0.006017735595046,0.3,)
19,34.2,0.5969026035,0.086459712671032,-0.066560772494335,0,,,(,0.984291580153653,-0.005164266379846,0,),,(,0.984291580153653,-0.005164266379846,0.3,)
18,32.4,0.565486677,0.077836037075877,-0.06392277777659,0,,,(,0.987958380605237,-0.00440560125879,0,),,(,0.987958380605237,-0.00440560125879,0.3,)
17,30.6,0.5340707505,0.069628986342703,-0.061163655613441,0,,,(,0.991143625048194,-0.003743798231069,0,),,(,0.991143625048194,-0.003743798231069,0.3,)
